Creation Time,Marketplace Type,Service Category,Location,Questions and Answers,Preferred Providers,Status
Sun Apr 02 00:02:05 UTC 2023,SERVICE_MARKETPLACE,Resume Writing,60611,"1. What type of resume? LinkedIn profile,Traditional resume 2. What stage of resume writing are you in? I need revisions to an existing resume 3. Where are you in your career? Mid career 4. Which industries are you focused on? Technology,Financial services,Sales, marketing, PR 5. How would you like to work with the resume writer? I do not have a preference",,APPROVED
Tue Aug 08 16:59:35 UTC 2017,SERVICE_MARKETPLACE,Video Editing,10016,1. What kind of video? Music video 2. Approximately how much source material will need to be edited? 1 to 10 minutes 3. Approximate runtime of the final video project? 1 to 10 minutes 4. When do you need this completed by? This week 5. How would you like to work with the video editor? I only want to work with the video editor in person 6. Any other details about your video editing project? i have a lot of work i need done and it must be done right will someone please do it for me i am looking to hire someone immediately.,,CLOSED
