"Company Name","Website","HQ Country","Industry / Market","Employee Count","Last Funding Stage","Last Funding Amount","Last Funding Date","Total Funding","Key Investors","HQ Countries","Team Countries","Intl Hiring (Countries)","Open Jobs (Last 3 Mo)","Remote Hiring %","Hiring Keywords","Data Source","Targeting Rationale (AGS Context)","CHROs","Director + HR","All C-Suite","Update People Search (Find people Table) - 2026-06-03T21:47:33.031Z","Update People Search (Find people Table) - 2026-06-04T14:41:11.370Z","Update People Search (Find people Table) - 2026-06-04T17:32:01.701Z","Update People Search (Find people Table) - 2026-06-05T19:59:24.770Z"
"Black Forest Labs","","Germany","B2B / media / enterprise software",,"SERIES B","$300m","2025-12-01","$431m","","","",,,"","","Dealroom","Recent funding: $300m SERIES B (Dec 2025) | Source: Dealroom",,,,,,,
"PolyAI","","United Kingdom","B2B / marketing / enterprise software",,"SERIES D","$86.0m","2025-12-01","$204m","","","",,,"","","Dealroom","Recent funding: $86.0m SERIES D (Dec 2025) | Source: Dealroom",,,,,,,
"Zama","","France","B2B / security / fintech / crypto and defi",,"ICO","$121m","2026-01-01","$182m","","","",,,"","","Dealroom","Recent funding: $121m ICO (Jan 2026) | Source: Dealroom",,,,,,,
"Neural Concept","","Switzerland","B2B / engineering and manufacturing equipment",,"SERIES C","$100m","2025-12-01","$138m","","","",,,"","","Dealroom","Recent funding: $100m SERIES C (Dec 2025) | Source: Dealroom",,,,,,,
"PhysicsX","","United Kingdom","B2B / enterprise software / engineering and manufacturing equipment",,"LATE VC","$20.0m","2025-11-01","$187m","","","",,,"","","Dealroom","Recent funding: $20.0m LATE VC (Nov 2025) | Source: Dealroom",,,,,,,
"SpAItial","","United Kingdom","B2B / robotics",,"SEED","$13.0m","2025-05-01","$13.0m","","","",,,"","","Dealroom","Recent funding: $13.0m SEED (May 2025) | Source: Dealroom",,,,,,,
"General Intuition","","United States","B2B / gaming / enterprise software",,"SEED","$134m","2025-10-01","$134m","","","",,,"","","Dealroom","Recent funding: $134m SEED (Oct 2025) | Source: Dealroom",,,,,,,
"Mirelo AI","","Germany","B2B / music / media / content production",,"SEED","$41.0m","2025-12-01","$41.0m","","","",,,"","","Dealroom","Recent funding: $41.0m SEED (Dec 2025) | Source: Dealroom",,,,,,,
"Motor AI","","Germany","B2B / security / transportation / public safety / autonomous & sensor tech",,"SEED","$20.0m","2025-07-01","$20.7m","","","",,,"","","Dealroom","Recent funding: $20.0m SEED (Jul 2025) | Source: Dealroom",,,,,,,
"Raidium","","France","B2B / health / health platform / biotechnology",,"N/A EARLY VC","","2025-05-01","$20.1m","","","",,,"","","Dealroom","Recent funding:  N/A EARLY VC (May 2025) | Source: Dealroom",,,,,,,
"Boltzbit","","United Kingdom","B2B / enterprise software",,"EARLY VC","£3.0m","2025-09-01","$6.1m","","","",,,"","","Dealroom","Recent funding: £3.0m EARLY VC (Sep 2025) | Source: Dealroom",,,,,,,
"Embotech","","Switzerland","B2B / robotics / transportation / autonomous & sensor tech",,"N/A GROWTH EQUITY VC","","2025-02-01","$34.1m","","","",,,"","","Dealroom","Recent funding:  N/A GROWTH EQUITY VC (Feb 2025) | Source: Dealroom",,,,,,,
"Gradium","","France","B2B / enterprise software",,"SEED","$70.0m","2025-12-01","$70.0m","","","",,,"","","Dealroom","Recent funding: $70.0m SEED (Dec 2025) | Source: Dealroom",,,,,,,
"Synthesized","","United Kingdom","B2B / security / data protection",,"SERIES A","€17.0m","2025-09-01","$26.2m","","","",,,"","","Dealroom","Recent funding: €17.0m SERIES A (Sep 2025) | Source: Dealroom",,,,,,,
"Apheris AI","","Germany","B2B / security / enterprise software / data protection",,"SERIES A","€8.0m","2025-01-01","$24.4m","","","",,,"","","Dealroom","Recent funding: €8.0m SERIES A (Jan 2025) | Source: Dealroom",,,,,,,
"Gladia","","United States","B2B / media / enterprise software / content production",,"SERIES A","€14.7m","2024-10-01","$20.6m","","","",,,"","","Dealroom","Recent funding: €14.7m SERIES A (Oct 2024) | Source: Dealroom",,,,,,,
"Plumerai","","United Kingdom","B2B / robotics / semiconductors",,"SERIES A","$8.7m","2025-09-01","$17.0m","","","",,,"","","Dealroom","Recent funding: $8.7m SERIES A (Sep 2025) | Source: Dealroom",,,,,,,
"Juna.Ai","","Germany","B2B / energy / enterprise software / energy efficiency",,"SEED","$7.5m","2024-11-01","$7.5m","","","",,,"","","Dealroom","Recent funding: $7.5m SEED (Nov 2024) | Source: Dealroom",,,,,,,
"Ineffable Intelligence","","United Kingdom","B2B / enterprise software",,"SEED","$1.1b","2026-04-01","$1.1b","","","",,,"","","Dealroom","Recent funding: $1.1b SEED (Apr 2026) | Source: Dealroom",,,,,,,
"Pyannote","","France","B2B / enterprise software",,"SEED","€8.1m","2025-04-01","$8.9m","","","",,,"","","Dealroom","Recent funding: €8.1m SEED (Apr 2025) | Source: Dealroom",,,,,,,
"Embedl","","Sweden","B2B / semiconductors / enterprise software",,"SEK60.3m SEED","","2025-06-01","$17.8m","","","",,,"","","Dealroom","Recent funding:  SEK60.3m SEED (Jun 2025) | Source: Dealroom",,,,,,,
"Aleph Alpha","","Germany","B2B / enterprise software",,"N/A ACQUISITION","","2026-04-01","$641m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (Apr 2026) | Source: Dealroom",,,,,,,
"Sensible 4","","Finland","B2B / robotics / transportation / autonomous & sensor tech",,"N/A SUPPORT PROGRAM","","2022-10-01","$10.2m","","","",,,"","","Dealroom","Recent funding:  N/A SUPPORT PROGRAM (Oct 2022) | Source: Dealroom",,,,,,,
"InstaDeep","","United Kingdom","B2B / health / enterprise software / biotechnology",,"ACQUISITION","£362m","2023-01-01","$107m","","","",,,"","","Dealroom","Recent funding: £362m ACQUISITION (Jan 2023) | Source: Dealroom",,,,,,,
"BeyondMath","","United Kingdom","B2B / robotics / enterprise software",,"SEED","$10.0m","2026-02-01","$22.6m","","","",,,"","","Dealroom","Recent funding: $10.0m SEED (Feb 2026) | Source: Dealroom",,,,,,,
"RooflineAI","","Germany","B2B / semiconductors / enterprise software",,"GRANT","$2.5m","2025-03-01","$2.5m","","","",,,"","","Dealroom","Recent funding: $2.5m GRANT (Mar 2025) | Source: Dealroom",,,,,,,
"LightOn","","France","B2B / enterprise software",,"N/A POST IPO CONVERTIBLE","","2026-04-01","$3.3m","","","",,,"","","Dealroom","Recent funding:  N/A POST IPO CONVERTIBLE (Apr 2026) | Source: Dealroom",,,,,,,
"Calvin Risk","","Switzerland","B2B / enterprise software",,"SEED","$4.0m","2024-11-01","$5.5m","","","",,,"","","Dealroom","Recent funding: $4.0m SEED (Nov 2024) | Source: Dealroom",,,,,,,
"CausaLens","","United Kingdom","B2B / enterprise software",,"SERIES A","$45.0m","2022-01-01","$50.6m","","","",,,"","","Dealroom","Recent funding: $45.0m SERIES A (Jan 2022) | Source: Dealroom",,,,,,,
"iNEPHANY","","United Kingdom","B2B / enterprise software",,"SEED","$2.2m","2025-04-01","$2.2m","","","",,,"","","Dealroom","Recent funding: $2.2m SEED (Apr 2025) | Source: Dealroom",,,,,,,
"DeepL","","Germany","B2C / enterprise software",,"LATE VC","$300m","2024-05-01","$410m","","","",,,"","","Dealroom","Recent funding: $300m LATE VC (May 2024) | Source: Dealroom",,,,,,,
"Aindo","","Italy","B2B / enterprise software",,"GRANT","$2.1m","2024-10-01","$11.9m","","","",,,"","","Dealroom","Recent funding: $2.1m GRANT (Oct 2024) | Source: Dealroom",,,,,,,
"Literal Labs","","United Kingdom","B2B / enterprise software",,"SEED","£4.6m","2025-06-01","$12.9m","","","",,,"","","Dealroom","Recent funding: £4.6m SEED (Jun 2025) | Source: Dealroom",,,,,,,
"aiMotive","","Hungary","B2B / transportation / autonomous & sensor tech",,"GROWTH EQUITY NON VC","$55.0m","2023-10-01","$68.3m","","","",,,"","","Dealroom","Recent funding: $55.0m GROWTH EQUITY NON VC (Oct 2023) | Source: Dealroom",,,,,,,
"dottxt","","United States","B2B / enterprise software",,"EARLY VC","$11.9m","2024-10-01","$14.6m","","","",,,"","","Dealroom","Recent funding: $11.9m EARLY VC (Oct 2024) | Source: Dealroom",,,,,,,
"YData","","United States","B2B / security / enterprise software / data protection",,"SEED","$2.7m","2021-10-01","$3.3m","","","",,,"","","Dealroom","Recent funding: $2.7m SEED (Oct 2021) | Source: Dealroom",,,,,,,
"Deeploy","","Netherlands","B2B / enterprise software",,"GRANT","$2.5m","2024-10-01","$6.3m","","","",,,"","","Dealroom","Recent funding: $2.5m GRANT (Oct 2024) | Source: Dealroom",,,,,,,
"Syntonym","","United Kingdom","B2B / security / enterprise software / data protection",,"SEED","$250k","2025-01-01","$1.6m","","","",,,"","","Dealroom","Recent funding: $250k SEED (Jan 2025) | Source: Dealroom",,,,,,,
"Astran","","France","B2B / security / enterprise software / data protection",,"SEED","$5.0m","2023-06-01","$7.2m","","","",,,"","","Dealroom","Recent funding: $5.0m SEED (Jun 2023) | Source: Dealroom",,,,,,,
"Kausable","","Germany","B2B / enterprise software",,"SEED","$1.5m","2025-08-01","$1.5m","","","",,,"","","Dealroom","Recent funding: $1.5m SEED (Aug 2025) | Source: Dealroom",,,,,,,
"Roseman Labs","","Netherlands","B2B / security / data protection",,"SERIES A","€5.0m","2025-09-01","$9.9m","","","",,,"","","Dealroom","Recent funding: €5.0m SERIES A (Sep 2025) | Source: Dealroom",,,,,,,
"Anyverse","","Spain","B2B / robotics / transportation / autonomous & sensor tech",,"EARLY VC","€450k","2024-01-01","$9.6m","","","",,,"","","Dealroom","Recent funding: €450k EARLY VC (Jan 2024) | Source: Dealroom",,,,,,,
"Flower Labs","","Germany","B2B / enterprise software",,"SERIES A","$20.0m","2024-02-01","$23.7m","","","",,,"","","Dealroom","Recent funding: $20.0m SERIES A (Feb 2024) | Source: Dealroom",,,,,,,
"Edgeless Systems","","Germany","B2B / security / enterprise software / cloud & infrastructure / data protection",,"SEED","$5.0m","2023-03-01","$6.8m","","","",,,"","","Dealroom","Recent funding: $5.0m SEED (Mar 2023) | Source: Dealroom",,,,,,,
"Five AI","","United Kingdom","B2B / robotics / transportation / autonomous & sensor tech / navigation & mapping",,"N/A ACQUISITION","","2022-04-01","$79.2m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (Apr 2022) | Source: Dealroom",,,,,,,
"driveblocks","","Germany","B2B / transportation / autonomous & sensor tech",,"SEED","€3.5m","2026-02-01","$6.3m","","","",,,"","","Dealroom","Recent funding: €3.5m SEED (Feb 2026) | Source: Dealroom",,,,,,,
"Aligned AI","","United Kingdom","B2B / enterprise software",,"SEED","£600k","2022-07-01","$795k","","","",,,"","","Dealroom","Recent funding: £600k SEED (Jul 2022) | Source: Dealroom",,,,,,,
"Imagimob","","Sweden","B2B / semiconductors / enterprise software",,"N/A ACQUISITION","","2023-05-01","$4.5m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (May 2023) | Source: Dealroom",,,,,,,
"Hazy","","United Kingdom","B2B / security / enterprise software / data protection",,"SERIES A","$9.0m","2023-03-01","$16.8m","","","",,,"","","Dealroom","Recent funding: $9.0m SERIES A (Mar 2023) | Source: Dealroom",,,,,,,
"Linksight","","Netherlands","B2B / security / enterprise software / data protection",,"N/A SEED","","2022-03-01","$82.5k","","","",,,"","","Dealroom","Recent funding:  N/A SEED (Mar 2022) | Source: Dealroom",,,,,,,
"Mostly AI","","Austria","B2B / enterprise software",,"SERIES B","$25.0m","2022-01-01","$30.9m","","","",,,"","","Dealroom","Recent funding: $25.0m SERIES B (Jan 2022) | Source: Dealroom",,,,,,,
"EasyMile","","France","B2B, B2C / robotics / transportation / autonomous & sensor tech / vehicle production / mobility",,"N/A BANKRUPTCY","","2024-07-01","$99.7m","","","",,,"","","Dealroom","Recent funding:  N/A BANKRUPTCY (Jul 2024) | Source: Dealroom",,,,,,,
"UMNAI","","Malta","B2B / enterprise software",,"SEED","€1.4m","2021-11-01","$3.7m","","","",,,"","","Dealroom","Recent funding: €1.4m SEED (Nov 2021) | Source: Dealroom",,,,,,,
"inait","","Switzerland","B2B / enterprise software",,"N/A SPINOUT","","2017-01-01","-","","","",,,"","","Dealroom","Recent funding:  N/A SPINOUT (Jan 2017) | Source: Dealroom",,,,,,,
"nyonic","","Germany","B2B / enterprise software",,"SEED","$20.0m","2023-07-01","$20.0m","","","",,,"","","Dealroom","Recent funding: $20.0m SEED (Jul 2023) | Source: Dealroom",,,,,,,
"Oxa","","United Kingdom","B2B / robotics / transportation / autonomous & sensor tech",,"SERIES D","$103m","2026-03-01","$354m","","","",,,"","","Dealroom","Recent funding: $103m SERIES D (Mar 2026) | Source: Dealroom",,,,,,,
"Sky Engine AI","","United Kingdom","B2B / robotics / enterprise software",,"SERIES A","$7.0m","2024-01-01","$9.6m","","","",,,"","","Dealroom","Recent funding: $7.0m SERIES A (Jan 2024) | Source: Dealroom",,,,,,,
"Kognic","","Sweden","B2B / robotics / transportation / autonomous & sensor tech / mobility",,"EARLY VC","€8.8m","2024-08-01","$42.5m","","","",,,"","","Dealroom","Recent funding: €8.8m EARLY VC (Aug 2024) | Source: Dealroom",,,,,,,
"Brighter AI","","Germany","B2B / security / cloud & infrastructure",,"N/A ACQUISITION","","2025-04-01","$715k","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (Apr 2025) | Source: Dealroom",,,,,,,
"Privitar","","United Kingdom","B2B / security / enterprise software / data protection",,"N/A ACQUISITION","","2023-06-01","$148m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (Jun 2023) | Source: Dealroom",,,,,,,
"Fainite","","Switzerland","B2B / enterprise software",,"GRANT","€170k","2026-03-01","$182k","","","",,,"","","Dealroom","Recent funding: €170k GRANT (Mar 2026) | Source: Dealroom",,,,,,,
"Decentriq","","Switzerland","B2B / security / enterprise software / data protection",,"N/A GRANT","","2023-04-01","$19.0m","","","",,,"","","Dealroom","Recent funding:  N/A GRANT (Apr 2023) | Source: Dealroom",,,,,,,
"Tenyks","","United Kingdom","B2B / enterprise software",,"SEED","$3.4m","2022-03-01","$3.5m","","","",,,"","","Dealroom","Recent funding: $3.4m SEED (Mar 2022) | Source: Dealroom",,,,,,,
"Conigital","","United Kingdom","B2B / transportation / autonomous & sensor tech",,"GRANT","£240k","2021-10-01","$3.2m","","","",,,"","","Dealroom","Recent funding: £240k GRANT (Oct 2021) | Source: Dealroom",,,,,,,
"Bitfount","","United Kingdom","B2B / enterprise software",,"SERIES A","$8.0m","2025-07-01","$13.0m","","","",,,"","","Dealroom","Recent funding: $8.0m SERIES A (Jul 2025) | Source: Dealroom",,,,,,,
"Conjecture","","United Kingdom","B2B / enterprise software",,"N/A SEED","","2024-05-01","$20.0m","","","",,,"","","Dealroom","Recent funding:  N/A SEED (May 2024) | Source: Dealroom",,,,,,,
"VEIL.AI","","Finland","B2B / health / security / data protection / biotechnology",,"N/A GRANT","","2024-08-01","$595k","","","",,,"","","Dealroom","Recent funding:  N/A GRANT (Aug 2024) | Source: Dealroom",,,,,,,
"Gama","","France","B2B / transportation / autonomous & sensor tech / vehicle production / mobility",,"GROWTH EQUITY VC","€10.0m","2025-03-01","$81.5m","","","",,,"","","Dealroom","Recent funding: €10.0m GROWTH EQUITY VC (Mar 2025) | Source: Dealroom",,,,,,,
"Diffblue","","United Kingdom","B2B / enterprise software",,"SERIES A","$3.2m","2025-11-01","$73.8m","","","",,,"","","Dealroom","Recent funding: $3.2m SERIES A (Nov 2025) | Source: Dealroom",,,,,,,
"Unlikely","","United Kingdom","B2B / enterprise software",,"N/A EARLY VC","","2025-07-01","$21.5m","","","",,,"","","Dealroom","Recent funding:  N/A EARLY VC (Jul 2025) | Source: Dealroom",,,,,,,
"Sherpa","","Spain","B2B / enterprise software",,"EARLY VC","$11.7m","2026-04-01","$47.6m","","","",,,"","","Dealroom","Recent funding: $11.7m EARLY VC (Apr 2026) | Source: Dealroom",,,,,,,
"LatticeFlow","","Switzerland","B2B / enterprise software",,"N/A GRANT","","2024-10-01","$14.8m","","","",,,"","","Dealroom","Recent funding:  N/A GRANT (Oct 2024) | Source: Dealroom",,,,,,,
"Usencryption","","United Kingdom","B2B / security / data protection",,"N/A GRANT","","2023-07-01","$200k","","","",,,"","","Dealroom","Recent funding:  N/A GRANT (Jul 2023) | Source: Dealroom",,,,,,,
"Vaultree","","Ireland","B2B / security / data protection",,"N/A EARLY VC","","2026-01-01","$18.6m","","","",,,"","","Dealroom","Recent funding:  N/A EARLY VC (Jan 2026) | Source: Dealroom",,,,,,,
"Monolith AI","","United Kingdom","B2B / enterprise software",,"N/A ACQUISITION","","2025-10-01","$15.9m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (Oct 2025) | Source: Dealroom",,,,,,,
"Frenetic","","Spain","B2B / semiconductors / marketing",,"SERIES A","€11.2m","2023-11-01","$20.1m","","","",,,"","","Dealroom","Recent funding: €11.2m SERIES A (Nov 2023) | Source: Dealroom",,,,,,,
"Another Brain","","France","B2B / enterprise software",,"SERIES A","€19.0m","2019-10-01","$35.8m","","","",,,"","","Dealroom","Recent funding: €19.0m SERIES A (Oct 2019) | Source: Dealroom",,,,,,,
"AMI - Advanced Machine Intelligence","","France","B2B / enterprise software",,"SEED","$1.0b","2026-02-01","$1.0b","","","",,,"","","Dealroom","Recent funding: $1.0b SEED (Feb 2026) | Source: Dealroom",,,,,,,
"Octopize","","France","B2B / health / enterprise software",,"SEED","€1.5m","2021-09-01","$1.7m","","","",,,"","","Dealroom","Recent funding: €1.5m SEED (Sep 2021) | Source: Dealroom",,,,,,,
"Emmi AI","","Austria","B2B / chemicals / engineering and manufacturing equipment",,"N/A ACQUISITION","","2026-05-01","$16.5m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (May 2026) | Source: Dealroom",,,,,,,
"Recursive Superintelligence","","United Kingdom","B2B / enterprise software",,"SEED","$650m","2026-05-01","$650m","","","",,,"","","Dealroom","Recent funding: $650m SEED (May 2026) | Source: Dealroom",,,,,,,
"Xpdeep","","France","B2B / enterprise software",,"N/A SUPPORT PROGRAM","","2025-01-01","$650k","","","",,,"","","Dealroom","Recent funding:  N/A SUPPORT PROGRAM (Jan 2025) | Source: Dealroom",,,,,,,
"Xent Labs","","Switzerland","B2B / gaming / enterprise software",,"N/A SPINOUT","","2025-09-01","-","","","",,,"","","Dealroom","Recent funding:  N/A SPINOUT (Sep 2025) | Source: Dealroom",,,,,,,
"PanocularAI","","Germany","B2B / robotics / enterprise software",,"N/A ANGEL","","2025-10-01","-","","","",,,"","","Dealroom","Recent funding:  N/A ANGEL (Oct 2025) | Source: Dealroom",,,,,,,
"NNAISENSE","","Switzerland","B2B / marketing / enterprise software",,"N/A BUYOUT","","2025-11-01","-","","","",,,"","","Dealroom","Recent funding:  N/A BUYOUT (Nov 2025) | Source: Dealroom",,,,,,,
"Convergence","","United Kingdom","B2B / enterprise software",,"ACQUISITION","£120m","2025-05-01","$12.0m","","","",,,"","","Dealroom","Recent funding: £120m ACQUISITION (May 2025) | Source: Dealroom",,,,,,,
"Ravel Technologies","","France","B2B / enterprise software",,"N/A SEED","","2022-08-01","$900k","","","",,,"","","Dealroom","Recent funding:  N/A SEED (Aug 2022) | Source: Dealroom",,,,,,,
"Oblivious","","Ireland","B2B / security / data protection",,"EARLY VC","€5.4m","2023-04-01","$6.9m","","","",,,"","","Dealroom","Recent funding: €5.4m EARLY VC (Apr 2023) | Source: Dealroom",,,,,,,
"Prior Labs","","Germany","B2B, B2C / enterprise software",,"ACQUISITION","€1.0b","2026-05-01","$9.9m","","","",,,"","","Dealroom","Recent funding: €1.0b ACQUISITION (May 2026) | Source: Dealroom",,,,,,,
"Niulinx","","Italy","B2B / transportation / autonomous & sensor tech",,"SEED","$38.0m","2026-04-01","$38.0m","","","",,,"","","Dealroom","Recent funding: $38.0m SEED (Apr 2026) | Source: Dealroom",,,,,,,
"Mindtech Global","","United Kingdom","B2B / enterprise software",,"EARLY VC","£4.4m","2024-10-01","$12.0m","","","",,,"","","Dealroom","Recent funding: £4.4m EARLY VC (Oct 2024) | Source: Dealroom",,,,,,,
"GoodAI","","Czechia","B2B / enterprise software",,"-","","","-","","","",,,"","","Dealroom","Recent funding:  - (-) | Source: Dealroom",,,,,,,
"QuantPi","","Germany","B2B / enterprise software",,"GRANT","$2.5m","2023-06-01","$5.2m","","","",,,"","","Dealroom","Recent funding: $2.5m GRANT (Jun 2023) | Source: Dealroom",,,,,,,
"FLock.io","","United Kingdom","B2B / security / data protection",,"N/A GRANT","","2024-09-01","$8.0m","","","",,,"","","Dealroom","Recent funding:  N/A GRANT (Sep 2024) | Source: Dealroom",,,,,,,
"Sarus","","France","B2B / security / data protection",,"GRANT","$2.1m","2023-06-01","$4.4m","","","",,,"","","Dealroom","Recent funding: $2.1m GRANT (Jun 2023) | Source: Dealroom",,,,,,,
"thingsTHINKING","","Germany","B2B / enterprise software",,"N/A ACQUISITION","","2025-04-01","$5.0m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (Apr 2025) | Source: Dealroom",,,,,,,
"Statice","","Germany","B2B / security / enterprise software / data protection",,"N/A ACQUISITION","","2022-11-01","$2.5m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (Nov 2022) | Source: Dealroom",,,,,,,
"Hiverge","","United Kingdom","B2B / enterprise software",,"SEED","$5.0m","2025-09-01","$5.0m","","","",,,"","","Dealroom","Recent funding: $5.0m SEED (Sep 2025) | Source: Dealroom",,,,,,,
"Syntho","","Netherlands","B2B / enterprise software",,"SEED","€1.0m","2021-05-01","$1.1m","","","",,,"","","Dealroom","Recent funding: €1.0m SEED (May 2021) | Source: Dealroom",,,,,,,
"Fern Labs","","United Kingdom","B2B / enterprise software",,"N/A ACQUISITION","","2025-11-01","$3.0m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (Nov 2025) | Source: Dealroom",,,,,,,
"Gibran","","United Kingdom","B2B / enterprise software",,"SEED","$2.6m","2025-07-01","$2.6m","","","",,,"","","Dealroom","Recent funding: $2.6m SEED (Jul 2025) | Source: Dealroom",,,,,,,
"Mithril Security","","France","B2B / security / data protection / cloud & infrastructure",,"N/A ACQUISITION","","2025-05-01","$1.3m","","","",,,"","","Dealroom","Recent funding:  N/A ACQUISITION (May 2025) | Source: Dealroom",,,,,,,
"NobodyWho","","Denmark","B2B / enterprise software",,"SEED","€2.0m","2025-12-01","$2.2m","","","",,,"","","Dealroom","Recent funding: €2.0m SEED (Dec 2025) | Source: Dealroom",,,,,,,
"Farang","","Sweden","B2B / enterprise software",,"SEED","€1.5m","2025-08-01","$1.7m","","","",,,"","","Dealroom","Recent funding: €1.5m SEED (Aug 2025) | Source: Dealroom",,,,,,,
"Syntheticus","","Switzerland","B2B / security / enterprise software / data protection",,"","","2023-06-01","-","","","",,,"","","Dealroom","Source: Dealroom",,,,,,,
"Syndata","","Sweden","B2B / security / enterprise software / data protection",,"SEED","€140k","2023-06-01","$407k","","","",,,"","","Dealroom","Recent funding: €140k SEED (Jun 2023) | Source: Dealroom",,,,,,,
"KIProtect","","Germany","B2B / security / data protection",,"-","","","-","","","",,,"","","Dealroom","Recent funding:  - (-) | Source: Dealroom",,,,,,,
"Trūata","","Ireland","B2B / legal / enterprise software / regtech & compliance",,"GRANT","£40.0k","2023-03-01","$40.0k","","","",,,"","","Dealroom","Recent funding: £40.0k GRANT (Mar 2023) | Source: Dealroom",,,,,,,
"Generatrix","","Netherlands","B2B / enterprise software",,"-","","","-","","","",,,"","","Dealroom","Recent funding:  - (-) | Source: Dealroom",,,,,,,
"peakaio.com","","United Kingdom","B2B / hosting / enterprise software",,"EARLY VC","£5.0m","2025-10-01","$6.6m","","","",,,"","","Dealroom","Recent funding: £5.0m EARLY VC (Oct 2025) | Source: Dealroom",,,,,,,
"Onono Ai","","Switzerland","B2B / enterprise software",,"ANGEL","€100k","2026-02-01","$110k","","","",,,"","","Dealroom","Recent funding: €100k ANGEL (Feb 2026) | Source: Dealroom",,,,,,,
"Humanising Autonomy","","United Kingdom","B2B / robotics / transportation / logistics & delivery / mobility / autonomous & sensor tech",,"N/A DEBT","","2023-02-01","$16.3m","","","",,,"","","Dealroom","Recent funding:  N/A DEBT (Feb 2023) | Source: Dealroom",,,,,,,
