"Company Name","Website","HQ Country","Industry / Market","Employee Count","Last Funding Stage","Last Funding Amount","Last Funding Date","Total Funding","Key Investors","HQ Countries","Team Countries","Intl Hiring (Countries)","Open Jobs (Last 3 Mo)","Remote Hiring %","Hiring Keywords","Data Source","Targeting Rationale (AGS Context)","CHROs","Director + HR","All C-Suite","Update People Search (Find people Table) - 2026-06-03T21:47:33.031Z","Update People Search (Find people Table) - 2026-06-04T14:41:11.370Z","Update People Search (Find people Table) - 2026-06-04T17:32:01.701Z","Update People Search (Find people Table) - 2026-06-05T19:59:24.770Z"
"Rogo","rogo.ai","United States","Analytics;Artificial Intelligence (AI);Business Intelligence;FinTech;Financial Services;Generative AI",164,"Series D","$160M","2026-04-29","$345M","AlleyCorp;BoxGroup;Evantic Capital;FinTech Sandbox;J.P. Morgan Growth Equity Partners;Jack Altman;Khosla Ventures;Kleiner Perkins;MANTIS Venture Capital;Positive Sum;Sequoia Capital;Thrive Capital","United States","United States;United Kingdom;Canada;India;Australia;Germany;Ireland",2,62,"2%","remote;global team","GoodFit","Recent funding: $160M Series D (2026-04-29) | Hiring in 2 countries outside HQ | 62 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Seeq Corporation","seeq.com","United States","Analytics;Commercial;Industrial;Internet of Things;Software",299,"Series D","$50M","2024-08-06","$165M","Altira Group;Chevron Technology Ventures;Cisco Investments;Insight Partners;Saudi Aramco Energy Ventures;Second Avenue Partners;Sixth Street","United States","United States;United Kingdom;Canada;Australia;Ireland;Kenya;France;Nigeria;Italy;Norway;Portugal;Romania;Brazil;Estonia;Georgia;Germany;Hungary;India;Malaysia;Oman;Sweden",5,62,"100%","remote;global team;fully remote","GoodFit","Recent funding: $50M Series D (2024-08-06) | Hiring in 5 countries outside HQ | 62 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"ShareGate","sharegate.com","Canada","Internet;VoIP;Wireless",34,"Venture - Series UNKNOWN","$130K","2013-05-30","$10M","Advent International;Amtech;Blueprint Ventures","Canada","Canada;United Kingdom;Germany;United States",,50,"3%","remote","GoodFit","Recent funding: $130K Venture - Series UNKNOWN (2013-05-30) | 50 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"SignalWire","signalwire.com","United States","Artificial Intelligence (AI);Call Center;Enterprise;Generative AI;Messaging;Telecommunications",85,"Series B","","2022-03-23","$42M","Dean Drako;Jerry Yang;Jesse Robbins;Prosperity7 Ventures;Samsung NEXT;Storm Ventures;T-Mobile Ventures;Telekom Innovation Pool;WVV Capital","United States","United States;Brazil;India;Italy;Spain;United Kingdom;Bangladesh;Canada;Germany;Nigeria;Poland;Thailand",,98,"","","GoodFit","Recent funding:  Series B (2022-03-23) | 98 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Sixfold","sixfold.ai","United States","Artificial Intelligence (AI);Generative AI;InsurTech;Productivity Tools",69,"Series B","$30M","2026-01-29","$52M","Bessemer Venture Partners;Brewer Lane Ventures;Crystal Venture Partners;Guidewire Software;Lloyd's Lab;Salesforce Ventures;Scale Venture Partners","United States","United States;Brazil;United Kingdom;Kenya;Mexico",,3,"","","GoodFit","Recent funding: $30M Series B (2026-01-29) | 3 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Snorkel AI","snorkel.ai","United States","AI Infrastructure;Artificial Intelligence (AI);Data Collection and Labeling;Enterprise Software;Machine Learning",1139,"Venture - Series UNKNOWN","$4M","2025-08-06","$239M","Accenture Ventures;Addition;BNY;BlackRock;Google Ventures;Greylock;Lightspeed Venture Partners;Nepenthe Capital;Prosperity7 Ventures;QBE Ventures","United States","United States;Mexico;United Kingdom;Canada;India;Kenya;Nigeria;Australia;Bangladesh;Czechia;Ethiopia;Georgia;Greece;Ireland;Poland;Portugal;South Korea;Turkey;United Arab Emirates;Vietnam",,182,"27%","remote;global team","GoodFit","Recent funding: $4M Venture - Series UNKNOWN (2025-08-06) | 182 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Sofar Ocean","sofarocean.com","United States","Big Data;Information Services;Information Technology;Sensor",106,"Venture - Series UNKNOWN","$22M","2024-12-09","$74M","Craft Ventures;Foundry Group;Jovono;Peter Rive;Trousdale Ventures;True Ventures;Union Square Ventures","United States","United States;India;Singapore;Iran;Netherlands;United Arab Emirates;Croatia",2,12,"16%","remote;global team","GoodFit","Recent funding: $22M Venture - Series UNKNOWN (2024-12-09) | Hiring in 2 countries outside HQ | 12 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Spekit","spekit.com","United States","Artificial Intelligence (AI);CRM;Content Marketing;Enterprise Software;Generative AI;Knowledge Management;SaaS;Sales Automation;Sales Enablement;Training",106,"Series B","$45M","2022-01-19","$61M","Bonfire Ventures;Craft Ventures;Felicis;Foundry Group;Matchstick Ventures;Operator Collective;Renegade Partners;Sarona Ventures","United States","United States;Pakistan;Mexico;Argentina;India;Canada;Bahamas;Australia;Netherlands;Poland;United Kingdom",2,18,"20%","remote;fully remote","GoodFit","Recent funding: $45M Series B (2022-01-19) | Hiring in 2 countries outside HQ | 18 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Stability AI","stability.ai","United States","Artificial Intelligence (AI);Foundational AI;Generative AI;Image Recognition;Information Technology;Software",189,"Corporate Round","","2025-03-05","$256M","Betaworks;Coatue;Firestreak Ventures;Greycroft;Intel;Lightspeed Venture Partners;O'Shaughnessy Asset Management;O'Shaughnessy Ventures;Prem Akkaraju;Robert Nelsen;Sean Parker;Sound Ventures;WPP;Watertower Ventures","United States","United States;United Kingdom;Canada;Germany;Ireland;Italy;Spain;India;Romania;Turkey;Bulgaria;France;Singapore;Austria;Belgium;Denmark;Greece;Netherlands;Pakistan;Poland;Portugal;Sweden;Azerbaijan;Czechia;Georgia;Hungary;Indonesia;Israel;Japan;Lithuania;Mexico;Norway;Slovakia;Switzerland;Thailand;Ukraine",1,17,"25%","remote","both","Recent funding:  Corporate Round (2025-03-05) | Hiring in 1 countries outside HQ | 17 open roles (last 3 mo) | Source: both",,,,,,,
"SuperAnnotate","superannotate.com","United States","Artificial Intelligence (AI);Computer Vision;Data Collection and Labeling;Generative AI;Machine Learning;Natural Language Processing;SaaS;Software",362,"Series B","$14M","2025-07-15","$67M","Base10 Partners;Databricks Ventures;Dell Technologies Capital;Fathom Capital;NVIDIA;Play Time Ventures;Plug and Play;Point Nine;Runa Capital;Socium Ventures","Armenia;Sweden;United States","United States;Bangladesh;Armenia;Colombia;Egypt;India;United Kingdom;Kenya;Nigeria;Indonesia;Italy;Spain;Canada;France;Ireland;Pakistan;Germany;Mexico;South Africa;South Korea;United Arab Emirates;Brazil;Ethiopia;Japan;Morocco;Philippines;Romania;Sweden;Argentina;Australia;Bulgaria;Cameroon;China;Cyprus;Czechia;Denmark;Dominican Republic;Finland;Jamaica;Lebanon;Liechtenstein;New Zealand;Saudi Arabia;Sri Lanka;Taiwan;Thailand;Turkey;Zambia",2,24,"60%","remote;fully remote","GoodFit","Recent funding: $14M Series B (2025-07-15) | Hiring in 2 countries outside HQ | 24 open roles (last 3 mo) | 60% remote hiring | Source: GoodFit",,,,,,,
