Company Name,Role,Cause,Started On,Finished On,Description
RE:WORK TRAINING,Volunteer,economicEmpowerment,Feb 2024,,Provide support to enrolled students through presentations and interview prep.
SXSW,2024 Platinum Volunteer | Seminar and Venue Support,,Mar 2024,Mar 2024,"Helped as a volunteer at SXSW in Austin Texas in 2024. Assisted with venue operations and speaker segments, including featured panelists and guest/host accomodations."
2024 Democratic National Convention Committee,Visibility Volunteer,,Aug 2024,Aug 2024,"Supported event operations for the 2024 Democratic National Convention by assisting with crowd and flow control via coordinated signage, etc."
