Ad clicked Date,Ad Title/Id
2025/06/06 02:07:54 UTC,676844004
2026/08/26 08:49:43 UTC,926587194
2025/02/15 22:52:46 UTC,611522036
2026/08/25 06:23:15 UTC,145111864
2026/03/14 20:39:42 UTC,1144110564
2026/08/25 07:13:51 UTC,145111864
2025/08/28 05:23:39 UTC,809369096
2026/08/24 06:16:43 UTC,943208224
2025/06/18 08:24:44 UTC,681230796
2026/08/24 04:40:36 UTC,1456116993
2025/03/20 18:58:07 UTC,646621023
2026/08/24 02:57:19 UTC,1397534356
2025/03/20 18:58:12 UTC,646621023
2026/08/24 02:57:20 UTC,1397534356
2025/02/06 18:32:23 UTC,575437294
2026/08/24 02:59:03 UTC,1480129936
2025/02/06 18:32:45 UTC,575437294
2026/08/24 02:59:11 UTC,1480129936
2025/02/06 18:32:48 UTC,575437294
2026/08/24 04:43:07 UTC,1476575834
2025/02/06 18:32:52 UTC,575437294
2026/08/24 04:43:13 UTC,1476575834
2025/02/06 18:32:57 UTC,575437294
2026/08/22 20:01:53 UTC,145111864
2025/02/06 18:33:07 UTC,575437294
2026/08/24 06:18:00 UTC,145111864
2025/02/06 18:33:16 UTC,575437294
2026/08/21 19:47:14 UTC,1467174814
2025/02/06 18:33:19 UTC,575437294
2026/08/21 19:47:18 UTC,1467174814
2025/06/18 17:16:39 UTC,640914144
2026/08/26 16:33:32 UTC,1539562766
2025/03/30 01:02:23 UTC,564508746
2026/08/20 08:04:54 UTC,145111864
2025/03/30 01:02:34 UTC,564508746
2026/08/26 13:46:07 UTC,1535520266
2025/03/30 01:02:50 UTC,564508746
2026/08/29 20:08:25 UTC,145111864
2025/04/13 04:52:02 UTC,631208796
2026/08/29 20:09:29 UTC,145111864
2025/08/01 17:53:13 UTC,561452174
2026/08/18 10:58:04 UTC,1535996526
2025/08/01 17:53:04 UTC,561452174
2026/08/17 17:43:18 UTC,164094834
2025/08/01 17:53:15 UTC,561452174
2026/08/17 08:49:23 UTC,1465176814
2025/08/01 21:48:10 UTC,712197444
2026/08/07 05:13:42 UTC,1476575834
2025/08/01 22:03:46 UTC,717350204
2026/08/07 05:13:45 UTC,1476575834
2025/08/02 01:51:30 UTC,732113936
2026/08/07 05:13:46 UTC,1476575834
2025/08/02 01:52:48 UTC,797867426
2026/08/08 05:04:34 UTC,1456237153
2025/06/04 04:59:59 UTC,620748676
2026/08/08 05:04:50 UTC,1456237153
2025/06/04 03:37:22 UTC,620748676
2026/08/08 05:04:50 UTC,1456237153
2025/06/04 03:37:28 UTC,620748676
2026/08/06 12:23:39 UTC,145111864
2025/08/01 20:02:30 UTC,676880284
2026/08/06 01:55:38 UTC,1528586166
2025/08/01 20:02:38 UTC,676880284
2026/08/15 09:13:33 UTC,1477073634
2025/08/01 20:02:44 UTC,676880284
2026/08/04 04:10:07 UTC,145111864
2025/08/01 21:19:21 UTC,797873656
2026/08/13 01:32:05 UTC,1543564296
2025/06/04 01:01:58 UTC,620748676
2026/07/29 04:08:57 UTC,1149393644
2025/06/04 01:02:20 UTC,620748676
2026/08/10 23:36:34 UTC,1535520266
2025/06/04 01:02:26 UTC,620748676
2026/07/26 05:34:55 UTC,1451496406
2025/07/13 04:53:51 UTC,648321536
2026/07/27 09:05:29 UTC,145111864
2025/07/13 04:56:51 UTC,685324024
2026/07/27 03:58:30 UTC,1230238214
2025/07/13 04:56:56 UTC,685324024
2026/07/27 03:58:31 UTC,145111864
2025/09/10 07:16:04 UTC,756936483
2026/07/27 03:59:50 UTC,145111864
2025/08/01 01:19:42 UTC,799772616
2026/07/25 01:12:52 UTC,1230029424
2025/08/01 01:19:44 UTC,799772616
2026/07/24 15:48:19 UTC,145111864
2025/07/13 00:59:14 UTC,783476716
2026/07/24 15:48:54 UTC,145111864
2025/07/13 04:09:32 UTC,707073824
2026/07/24 15:47:44 UTC,1465176814
2025/08/08 08:48:46 UTC,721676514
2026/07/22 14:30:48 UTC,1451526556
2025/04/09 19:17:56 UTC,664281396
