Date,Link,OptionText
2022-01-25 05:17:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6891423748688277504,Human capital
2022-01-19 00:40:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889346846343409664,"Yes, why not?"
2021-12-26 05:19:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6878732044147417088,"Around age 50, or later"
2021-11-29 23:41:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6871140692526215168,Yes
2021-11-29 06:38:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6870919805248131072,It’s fine. They deserve it.
2021-11-29 01:24:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:6870738093528481792,To start my own business
2021-11-26 04:31:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869716788184264704,Other - please comment
2021-11-25 18:53:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:6869489671907504128,"Yes, of course it is"
2021-11-14 21:49:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6865667877509451777,"No, that’s not okay"
